key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
Please enter your PIN,Please enter your PIN,Introduce tu PIN,Saisissez votre code PIN,Introduza o seu PIN,Inserisci il tuo PIN,Bitte PIN eingeben,Εισαγάγετε το PIN σας,Lütfen PIN'inizi girin,Voer jou PIN in
Select your profile,Select your profile,Elige tu perfil,Choisissez votre profil,Selecione o seu perfil,Seleziona il tuo profilo,Profil auswählen,Επιλέξτε το προφίλ σας,Profilinizi seçin,Kies jou profiel
Add a profile,Add a profile,Añade un perfil,Ajouter un profil,Adicionar um perfil,Aggiungi un profilo,Ein Profil hinzufügen,Προσθέστε ένα προφίλ,Bir profil ekleyin,Voeg ’n profiel by
Parent inbox,Parent inbox,Buzón parental,Messagerie des parents,Caixa de entrada dos pais,Posta genitori,Eltern-Posteingang,Εισερχόμενα γονιών,Ebeveyn gelen kutusu,Ouer se inbus
Privacy Policy,Privacy Policy,Política de privacidad,Politique de confidentialité,Política de Privacidade,Informativa sulla privacy,Datenschutzrichtlinie,Πολιτική Απορρήτου,Gizlilik Politikası,Privaatheidsbeleid
Your Kids,Your Kids,Tus hijos,Vos enfants,Os seus filhos,I tuoi bambini,Ihre Kinder,Τα παιδιά σας,Çocuklarınız,Jou kinders
Friendships,Friendships,Amigos,Amis,Amizades,Amici,Freundschaften,Φιλίες,Arkadaşlıklar,Vriendskappe
Online Safety,Online Safety,Seguridad en línea,Sécurité en ligne,Segurança online,Sicurezza online,Online-Sicherheit,Ασφάλεια στο διαδίκτυο,Çevrimiçi Güvenlik,Aanlyn veiligheid
Your Account,Your Account,Tu cuenta,Votre compte,A sua conta,Il tuo account,Ihr Konto,Ο λογαριασμός σας,Hesabınız,Jou rekening
Child profile name,Child profile name,Nombre de perfil infantil,Nom du profil de l'enfant,O nome do perfil do seu filho,Nome profilo bambino,Profilname des Kindes,Όνομα προφίλ του παιδιού,Çocuk profili adı,Kind se profielnaam
